,Actual Date,EPOD Name,Customer Location City
0,2022-12-31,E-POD 008,Gurugram
1,2022-12-31,E-POD 008,Gurugram
2,2022-12-31,E-POD 008,Gurugram
3,2022-12-31,E-POD 008,Noida
4,2022-12-30,E-POD 008,Noida
5,2022-12-30,E-POD 008,Noida
6,2022-12-29,E-POD 008,Gurugram
7,2022-12-29,E-POD 008,Gurugram
8,2022-12-28,E-POD 008,Gurugram
9,2022-12-29,E-POD 008,Gurugram
10,2022-12-28,E-POD 008,Gurugram
11,2022-12-28,E-POD 008,Gurugram
12,2022-12-28,E-POD 008,Gurugram
13,2022-12-27,E-POD 008,Gurugram
14,2022-12-27,E-POD 008,Gurugram
15,2022-12-27,E-POD 008,Gurugram
16,2022-12-27,E-POD 008,Gurugram
17,2022-12-26,E-POD 008,Gurugram
18,2022-12-27,E-POD 008,Delhi
19,2022-12-26,E-POD 008,Gurugram
20,2022-12-25,E-POD 008,Gurugram
21,2022-12-25,E-POD 008,Gurugram
22,2022-12-25,E-POD 008,Noida
23,2022-12-25,E-POD 008,Gurugram
24,2022-12-25,E-POD 008,Gurugram
25,2022-12-24,E-POD 008,Gurugram
26,2022-12-24,E-POD 008,Noida
27,2022-12-23,E-POD 008,Gurugram
28,2022-12-23,E-POD 008,Gurugram
29,2022-12-23,E-POD 008,Noida
30,2022-12-23,E-POD 008,Gurugram
31,2022-12-23,E-POD 008,Noida
32,2022-12-22,E-POD 008,Gurugram
33,2022-12-22,E-POD 008,Gurugram
34,2022-12-21,E-POD 008,Gurugram
35,2022-12-22,E-POD 008,Gurugram
36,2022-12-21,E-POD 008,Gurugram
37,2022-12-20,E-POD 008,Delhi
38,2022-12-20,E-POD 008,Gurugram
39,2022-12-19,E-POD 008,Gurugram
40,2022-12-20,E-POD 008,Delhi
41,2022-12-19,E-POD 008,Gurugram
42,2022-12-18,E-POD 008,Noida
43,2022-12-19,E-POD 008,Gurugram
44,2022-12-18,E-POD 008,Gurugram
45,2022-12-18,E-POD 008,Delhi
46,2022-12-17,E-POD 008,Gurugram
47,2022-12-18,E-POD 008,Noida
48,2022-12-17,E-POD 008,Gurugram
49,2022-12-16,E-POD 008,Delhi
50,2022-12-16,E-POD 008,Gurugram
51,2022-12-16,E-POD 008,Gurugram
52,2022-12-17,E-POD 008,Gurugram
53,2022-12-16,E-POD 008,Gurugram
54,2022-12-15,E-POD 008,Noida
